CodigoNotaFiscal,CodigoCentroSaida,CodigoReceita,Volume,RelacaoAguaCimento,TipoLancamento,DataEmissaoNotaFiscal,CodigoCliente,CodigoMotorista,Status,QuantidadeAgua,QuantidadeAdicaoAgua,TempoPermanenciaObra,ConsumoTotal,FCK,TipoTraco,IdadeTraco,Aglomerante,Rompimento7Dias,Rompimento28Dias,DesvioUtilizado,Projecao
516245,51020,34670051,8.0,0.634,B,2019-01-02 07:28:02.423,108801051,897051,N,1480,,2019-01-02 00:45:00,2120.0,30.0,N,28,75051.0,24.25,32.42,5.0,33.26519634832445
516246,51120,37255051,8.0,0.621,B,2019-01-02 07:32:58.343,830388998,419051,N,1344,,2019-01-02 01:10:00,5200.0,30.0,E,28,60051.0,0.0,0.0,5.0,
516247,79020,40622051,6.0,0.772,B,2019-01-02 07:39:55.400,340051,104079,N,954,,2019-01-02 01:04:00,3084.0,25.0,N,28,62051.0,18.64,29.34,3.5,28.2748801413734
516250,79020,40405051,6.0,0.6659999999999999,B,2019-01-02 08:11:09.933,13536051,49080,N,1008,,2019-01-02 00:38:00,3576.0,30.0,E,28,62051.0,0.0,0.0,4.5,
516251,51020,34670051,8.0,0.634,B,2019-01-02 08:11:59.553,108801051,49079,N,1480,,2019-01-02 00:34:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516252,80020,39537051,8.0,0.752,B,2019-01-02 08:14:20.530,13768051,40080,N,1224,,2019-01-02 03:16:00,4016.0,20.0,N,28,94051.0,18.04,24.42,6.0,24.65346610020735
516253,79020,40622051,6.0,0.772,B,2019-01-02 08:25:52.073,340051,107079,N,954,,2019-01-02 00:50:00,3084.0,25.0,N,28,62051.0,20.15,28.13,3.5,29.895180142454855
516254,79020,40931051,7.0,0.772,C,2019-01-02 08:36:50.110,77776998,162079,N,994,,2019-01-02 00:09:00,3234.0,25.0,N,28,62051.0,0.0,0.0,3.5,
516256,51020,34670051,8.0,0.634,B,2019-01-02 08:48:10.337,108801051,105079,N,1480,,2019-01-02 00:18:00,2120.0,30.0,N,28,75051.0,25.24,33.51,5.0,34.469728729068244
516257,51120,37255051,8.0,0.621,B,2019-01-02 08:55:15.430,830388998,66079,N,1344,,2019-01-02 00:18:00,5200.0,30.0,E,28,60051.0,24.29,33.43,5.0,35.63388149391965
516258,79020,40405051,6.0,0.6659999999999999,B,2019-01-02 09:00:47.833,13536051,39080,N,1008,,2019-01-02 00:35:00,3576.0,30.0,E,28,62051.0,24.37,35.53,4.5,34.17742199289686
516260,80020,35781051,7.0,0.632,C,2019-01-02 09:19:03.030,225643998,56080,N,1057,,2019-01-02 01:06:00,2009.0,30.0,N,28,79051.0,26.29,34.64,6.0,33.699150198870626
516262,51020,34670051,8.0,0.634,B,2019-01-02 09:21:29.630,108801051,624051,N,1480,,2019-01-02 00:23:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516263,79020,40622051,6.0,0.772,B,2019-01-02 09:32:03.927,340051,120079,N,954,,2019-01-02 00:15:00,3084.0,25.0,N,28,62051.0,20.86,29.61,3.5,30.64010914129771
516264,51120,37255051,8.5,0.621,B,2019-01-02 09:32:38.823,830388998,901051,N,1428,,2019-01-02 00:16:00,5526.0,30.0,E,28,60051.0,0.0,0.0,5.0,
516265,51120,28149051,6.0,0.804,C,2019-01-02 09:46:25.543,109044051,94079,N,894,50.0,2019-01-02 02:20:00,2856.0,20.0,N,28,60051.0,0.0,0.0,4.5,
516266,51020,34670051,8.0,0.634,B,2019-01-02 09:49:20.177,108801051,173051,N,1480,,2019-01-02 00:17:00,2120.0,30.0,N,28,75051.0,28.13,37.2,5.0,37.95301944297185
516267,51120,37255051,8.5,0.621,B,2019-01-02 10:04:49.830,830388998,222051,N,1428,,2019-01-02 00:16:00,5526.0,30.0,E,28,60051.0,0.0,0.0,5.0,
516268,51020,34670051,8.0,0.634,B,2019-01-02 10:07:30.673,108801051,54079,N,1480,,2019-01-02 00:21:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516269,60020,40249051,6.0,0.64,B,2019-01-02 10:09:40.077,13201051,22060,N,1236,,2019-01-02 00:45:00,4428.0,30.0,E,28,93051.0,25.0,37.2,6.0,34.788500569531955
516271,51120,37255051,8.0,0.621,B,2019-01-02 10:23:14.373,830388998,731051,N,1344,,2019-01-02 00:27:00,5200.0,30.0,E,28,60051.0,26.73,33.73,5.0,38.564790753438835
516272,51020,34670051,8.0,0.634,B,2019-01-02 10:23:39.993,108801051,727051,N,1480,,2019-01-02 00:45:00,2120.0,30.0,N,28,75051.0,25.82,33.63,5.0,35.172657076011156
516273,80020,35925051,5.0,0.695,B,2019-01-02 10:40:01.703,593205998,12080,N,840,,2019-01-02 01:35:00,1405.0,25.0,N,28,79051.0,0.0,0.0,5.0,
516274,51120,37255051,8.0,0.621,B,2019-01-02 10:46:38.067,830388998,911051,N,1344,,2019-01-02 00:38:00,5200.0,30.0,E,28,60051.0,0.0,0.0,5.0,
516275,51020,34670051,8.0,0.634,B,2019-01-02 10:56:59.407,108801051,577051,N,1480,,2019-01-02 01:07:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516276,60020,40249051,6.0,0.64,B,2019-01-02 10:59:45.970,13201051,873051,N,1236,,2019-01-02 00:29:00,4428.0,30.0,E,28,93051.0,0.0,0.0,6.0,
516277,79020,40622051,6.0,0.772,B,2019-01-02 11:08:53.023,340051,11148,N,954,,2019-01-02 00:20:00,3084.0,25.0,N,28,62051.0,19.31,28.57,3.5,29.000027139303022
516278,51120,37255051,8.0,0.621,B,2019-01-02 11:16:00.513,830388998,897051,N,1344,,2019-01-02 01:10:00,5200.0,30.0,E,28,60051.0,23.09,31.11,5.0,34.17001809355508
516279,80020,35781051,4.0,0.632,C,2019-01-02 11:18:43.697,225643998,8148,N,604,,2019-01-02 00:34:00,1108.0,30.0,N,28,79051.0,0.0,0.0,6.0,
516282,51120,37255051,8.0,0.621,B,2019-01-02 11:43:23.657,830388998,49079,N,1344,,2019-01-02 01:08:00,5200.0,30.0,E,28,60051.0,0.0,0.0,5.0,
516283,80020,39537051,7.0,0.752,B,2019-01-02 11:55:12.187,13768051,11080,N,1071,,2019-01-02 02:49:00,3514.0,20.0,N,28,94051.0,17.41,23.7,6.0,23.85934589036236
516284,51020,34670051,8.0,0.634,B,2019-01-02 11:56:01.903,108801051,66079,N,1480,,2019-01-02 00:55:00,2120.0,30.0,N,28,75051.0,28.03,38.44,5.0,37.833272310142775
516286,51120,37255051,8.0,0.621,B,2019-01-02 12:07:17.383,830388998,105079,N,1344,,2019-01-02 01:15:00,5200.0,30.0,E,28,60051.0,24.93,32.63,5.0,36.408414545190745
516287,79020,40933051,5.0,0.861,C,2019-01-02 12:13:38.533,604629998,49080,N,700,,2019-01-02 01:25:00,2070.0,20.0,N,28,62051.0,16.26,24.4,3.5,25.613103858935087
516288,51020,34670051,8.0,0.634,B,2019-01-02 12:14:37.540,108801051,901051,N,1480,,2019-01-02 01:18:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516290,60020,40249051,6.0,0.64,B,2019-01-02 12:30:03.047,13201051,890051,N,1236,,2019-01-02 01:20:00,4428.0,30.0,E,28,93051.0,0.0,0.0,6.0,
516291,79020,40866051,6.0,0.6990000000000001,B,2019-01-02 12:36:23.480,275323998,107079,N,906,,2019-01-02 00:55:00,1608.0,25.0,E,7,56051.0,0.0,,7.0,
516292,51020,34670051,8.0,0.634,B,2019-01-02 12:38:44.727,108801051,419051,N,1480,,2019-01-02 00:30:00,2120.0,30.0,N,28,75051.0,0.0,0.0,5.0,
516295,60020,40249051,6.0,0.64,B,2019-01-02 13:05:08.447,13201051,21060,N,1236,,2019-01-02 01:57:00,4428.0,30.0,E,28,93051.0,25.73,36.42,6.0,35.48810748062326
516296,51020,39303051,7.0,0.665,B,2019-01-02 13:06:57.087,830388998,731051,N,1400,,2019-01-02 00:52:00,2114.0,30.0,E,28,28051.0,0.0,0.0,6.0,
516301,79020,40622051,6.0,0.772,B,2019-01-02 13:38:48.987,340051,399051,N,954,,2019-01-02 00:28:00,3084.0,25.0,N,28,62051.0,20.98,31.4,3.5,30.76498345459393
516306,51020,39303051,6.0,0.665,B,2019-01-02 13:52:42.643,830388998,222051,N,1200,,2019-01-02 00:55:00,1812.0,30.0,E,28,28051.0,0.0,0.0,6.0,
