CodigoReceita,Idade,TipoTraco,CodigoAglomerante,FCK,RelacaoAguaCimento
29093051,28,N,68051,25,0.757
29588051,28,N,70051,25,0.671
30317051,28,N,62051,25,0.757
30481051,28,N,70051,25,0.766
30910051,28,N,66051,25,0.719
30912051,28,N,7051,25,0.806
35925051,28,N,79051,25,0.742
36023051,28,N,78051,25,0.672
36489051,28,N,77051,25,0.68
36600051,28,N,72051,25,0.707
36602051,28,N,75051,25,0.704
37078051,28,N,81051,25,0.712
38559051,28,N,85051,25,0.663
38683051,28,N,88051,25,0.633
39667051,28,N,94051,25,0.679
39823051,28,N,96051,25,0.739
40034051,28,N,93051,25,0.691
41773051,28,N,91051,25,0.727
41941051,28,N,95051,25,0.773
42160051,28,N,61051,25,0.777
43934051,28,N,11051,25,0.794
44689051,28,N,106051,25,0.887
44690051,28,N,107051,25,0.887
45013051,28,N,108051,25,0.872
45381051,28,N,17051,25,0.806
46659051,28,N,14051,25,0.793
48051,28,N,3051,20,0.805
49051,28,N,8051,20,0.936
50051,28,N,41051,20,0.892
51051,28,N,12051,20,0.72
945051,28,N,13051,20,0.802
1438051,28,N,15051,20,0.786
1991051,28,N,11051,20,0.739
2742051,28,N,18051,20,0.783
5084051,28,N,25051,20,0.736
5252051,28,N,15051,20,0.874
5253051,28,N,18051,20,0.841
8150051,28,N,26051,20,0.783
9196051,28,N,29051,20,0.794
9920051,28,N,28051,20,0.876
9922051,28,N,4051,20,0.878
9924051,28,N,14051,20,0.894
10139051,28,N,27051,20,0.844
12416051,28,N,10051,20,0.942
12417051,28,N,17051,20,0.942
15041051,28,N,10051,20,0.834
15043051,28,N,17051,20,0.863
17075051,28,N,43051,20,0.712
18458051,28,N,10051,20,0.767
18459051,28,N,42051,20,0.858
18898051,28,N,46051,20,0.705
19713051,28,N,15051,20,0.772
19715051,28,N,18051,20,0.824
20749051,28,N,57051,20,0.746
21272051,28,N,59051,20,0.698
21476051,28,N,55051,20,0.814
22344051,28,N,60051,20,0.794
23699051,28,N,63051,20,0.75
23701051,28,N,15051,20,0.772
24094051,28,N,64051,20,0.769
25781051,28,N,41051,20,0.749
25783051,28,N,63051,20,0.749
26320051,28,N,64051,20,0.768
26490051,28,N,65051,20,0.737
26761051,28,N,63051,20,0.818
26763051,28,N,41051,20,0.749
29069051,28,N,68051,20,0.85
29584051,28,N,70051,20,0.743
30479051,28,N,70051,20,0.844
30560051,28,N,62051,20,0.85
30908051,28,N,66051,20,0.805
32156051,28,N,24051,20,0.837
33376051,28,N,71051,20,0.755
33746051,28,N,61051,20,0.876
33790051,28,N,60051,20,0.765
34646051,28,N,75051,20,0.785
35836051,28,N,44051,20,0.822
35843051,28,N,79051,20,0.823
36548051,28,N,77051,20,0.757
38538051,28,N,85051,20,0.73
38663051,28,N,88051,20,0.695
40537051,28,N,96051,20,0.819
41247051,28,N,12051,20,0.668
41298051,28,N,94051,20,0.753
42198051,28,N,95051,20,0.857
44007051,28,N,11051,20,0.874
45442051,28,N,14051,20,0.878
45875051,28,N,7051,20,0.888
40051,28,N,3051,15,0.919
41051,28,N,8051,15,1.046
42051,28,N,41051,15,1.01
43051,28,N,12051,15,0.813
2738051,28,N,18051,15,0.9
3821051,28,N,15051,15,0.9
5080051,28,N,25051,15,0.837
5246051,28,N,15051,15,1.01
5247051,28,N,18051,15,0.97
8131051,28,N,26051,15,0.899
9212051,28,N,29051,15,0.89
11453051,28,N,4051,15,0.997
11454051,28,N,13051,15,0.919
12345051,28,N,10051,15,1.034
12346051,28,N,17051,15,1.035
15873051,28,N,43051,15,0.797
19254051,28,N,46051,15,0.794
19262051,28,N,45051,15,0.836
21014051,28,N,57051,15,0.813
22326051,28,N,60051,15,0.89
23647051,28,N,15051,15,0.851
23649051,28,N,63051,15,0.857
24047051,28,N,64051,15,0.869
25397051,28,N,41051,15,0.858
25769051,28,N,41051,15,0.858
25771051,28,N,63051,15,0.857
26296051,28,N,64051,15,0.878
26454051,28,N,65051,15,0.835
26713051,28,N,41051,15,0.858
26715051,28,N,63051,15,0.939
28204051,28,N,29051,15,0.89
28206051,28,N,3051,15,0.9
29045051,28,N,68051,15,0.963
29701051,28,N,70051,15,0.828
30045051,28,N,72051,15,0.859
30307051,28,N,62051,15,0.963
30453051,28,N,70051,15,0.939
30854051,28,N,66051,15,0.908
32142051,28,N,24051,15,0.941
34427051,28,N,61051,15,0.996
35899051,28,N,79051,15,0.919
37710051,28,N,75051,15,0.882
38509051,28,N,85051,15,0.807
38638051,28,N,88051,15,0.767
39992051,28,N,93051,15,0.871
44320051,28,N,108051,15,1.087
45942051,28,N,7051,15,0.985
45944051,28,N,96051,15,0.945
46022051,28,N,11051,15,0.968
47203051,28,N,14051,15,0.979
11051,28,N,3051,15,0.9
351051,28,N,8051,15,1.047
352051,28,N,,15,1.023
353051,28,N,41051,15,1.016
354051,28,N,12051,15,0.814
616051,28,N,41051,15,0.899
747051,28,N,13051,15,0.945
1010051,28,N,3051,15,1.028
1060051,28,N,10051,15,1.057
1352051,28,N,15051,15,1.012
1469051,28,N,15051,15,0.897
1951051,28,N,14051,15,0.926
2426051,28,N,4051,15,0.979
2569051,28,N,11051,15,0.83
2760051,28,N,18051,15,0.897
3713051,28,N,17051,15,1.039
3720051,28,N,10051,15,0.894
4891051,28,N,18051,15,0.966
5014051,28,N,25051,15,0.837
5657051,28,N,24051,15,0.939
8068051,28,N,26051,15,0.897
9206051,28,N,29051,15,0.89
10862051,28,N,27051,15,1
12211051,28,N,17051,15,1.057
15018051,28,N,43051,15,0.798
15888051,28,N,44051,15,0.877
15961051,28,N,45051,15,0.836
16059051,28,N,46051,15,0.794
16263051,28,N,17051,15,0.979
16327051,28,N,10051,15,0.925
18544051,28,N,12051,15,0.813
20255051,28,N,55051,15,0.907
20583051,28,N,15051,15,0.853
20589051,28,N,18051,15,0.979
20981051,28,N,58051,15,0.899
20983051,28,N,57051,15,0.816
21194051,28,N,59051,15,0.825
21347051,28,N,45051,15,0.836
22330051,28,N,60051,15,0.89
23659051,28,N,63051,15,0.849
23661051,28,N,15051,15,0.853
24053051,28,N,64051,15,0.869
25721051,28,N,41051,15,0.858
25723051,28,N,63051,15,0.857
25725051,28,N,64051,15,0.869
26302051,28,N,64051,15,0.878
26460051,28,N,65051,15,0.835
26725051,28,N,41051,15,0.858
26727051,28,N,63051,15,0.939
28200051,28,N,29051,15,0.89
28202051,28,N,3051,15,0.9
28236051,28,N,60051,15,0.89
28238051,28,N,13051,15,0.944
28410051,28,N,67051,15,0.817
28962051,28,N,66051,15,0.908
29051051,28,N,68051,15,0.963
29552051,28,N,70051,15,0.828
29865051,28,N,62051,15,0.963
29893051,28,N,71051,15,0.859
29998051,28,N,72051,15,0.859
30435051,28,N,70051,15,0.939
31239051,28,N,71051,15,0.843
32069051,28,N,66051,15,0.908
32623051,28,N,56051,15,0.9
33156051,28,N,28051,15,0.996
33585051,28,N,75051,15,0.882
35905051,28,N,79051,15,0.919
37519051,28,N,77051,15,0.849
38283051,28,N,81051,15,0.932
38515051,28,N,85051,15,0.807
38644051,28,N,88051,15,0.767
39350051,28,N,94051,15,0.798
39757051,28,N,96051,15,0.911
39974051,28,N,93051,15,0.871
40607051,28,N,62051,15,1.029
40608051,28,N,68051,15,0.983
41949051,28,N,91051,15,0.901
41951051,28,N,92051,15,0.901
42138051,28,N,95051,15,0.957
42691051,28,N,7051,15,0.985
43663051,28,N,4051,15,0.997
43816051,28,N,107051,15,1.108
43817051,28,N,106051,15,1.11
43910051,28,N,109051,15,1.087
43911051,28,N,108051,15,1.087
44088051,28,N,11051,15,0.968
44294051,28,N,108051,15,1.087
45068051,28,N,108051,15,1.066
45141051,28,N,109051,15,1.066
45383051,28,N,14051,15,0.979
14051,28,N,3051,18,0.827
355051,28,N,8051,18,0.957
356051,28,N,41051,18,0.935
357051,28,N,12051,18,0.755
748051,28,N,13051,18,0.864
1012051,28,N,3051,18,0.939
1013051,28,N,41051,18,0.823
1354051,28,N,15051,18,0.925
1943051,28,N,14051,18,0.932
2768051,28,N,18051,18,0.827
3193051,28,N,7051,18,0.925
4213051,28,N,15051,18,0.827
4522051,28,N,11051,18,0.774
5016051,28,N,25051,18,0.774
6825051,28,N,4051,18,0.932
8076051,28,N,26051,18,0.831
11413051,28,N,27051,18,0.888
11509051,28,N,10051,18,0.869
11574051,28,N,24051,18,0.876
12219051,28,N,10051,18,0.954
12220051,28,N,17051,18,0.932
14023051,28,N,17051,18,0.9
15775051,28,N,43051,18,0.741
15971051,28,N,45051,18,0.756
15973051,28,N,46051,18,0.739
16829051,28,N,10051,18,0.861
16831051,28,N,17051,18,0.882
24076051,28,N,64051,18,0.809
24211051,28,N,63051,18,0.791
30753051,28,N,65051,18,0.774
30789051,28,N,70051,18,0.88
31128051,28,N,71051,18,0.802
31242051,28,N,71051,18,0.788
