CodigoCentroSaida,CodigoGrupoInsumo,CodigoInsumo,CodigoFornecedor,Ativo,DensidadeReal,DensidadeAparente,DataAlteracao
79020,E,10,200350,S,2.95,1.35,2010-08-11 17:44:54.953
79020,D,81,200350,N,1.21,1.21,2010-08-14 09:19:38.413
51020,A,2,200350,S,2.591,1.121,2010-08-25 14:52:06.203
51020,A,14,200350,S,2.688,1.33,2010-08-25 14:52:38.157
51020,B,1,200350,S,2.618,1.331,2010-08-25 14:53:47.92
51020,B,3,200350,S,2.681,1.423,2010-08-25 14:54:29.31
51120,A,2,200350,S,2.591,1.121,2010-08-25 17:17:55.747
51120,A,14,200350,S,2.688,1.33,2010-08-25 17:18:20.403
51120,B,4,200350,S,2.688,1.376,2010-08-25 17:18:46.717
51120,D,79,200350,S,1.08,1.08,2010-09-10 09:31:28.827
80020,F,9,200350,S,0,0,2010-09-10 15:24:02.397
51020,F,9,200350,S,0,0,2010-09-10 15:24:32.443
79020,F,9,200350,S,0,0,2010-09-10 15:25:09.383
60020,F,9,200350,S,0,0,2010-09-10 15:26:14.817
51020,C,47,200350,N,3.15,1.35,2010-09-22 18:58:30.987
80020,E,9,200350,S,2.95,1.35,2010-10-04 13:01:20.287
79020,A,14,200350,S,2.688,1.33,2010-10-06 13:47:36.247
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:06.313
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:06.377
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:06.423
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:06.453
60020,B,3,200350,S,2.688,1.376,2010-06-30 13:39:38.97
51120,A,2,200350,S,3,2,2010-06-30 15:57:36.49
80020,F,10,200350,S,1,1,2010-06-30 19:22:31.77
79020,E,9,200350,S,2.95,1.35,2010-08-10 16:49:17.08
79020,E,10,200350,S,2.95,1.35,2010-08-12 08:05:14.607
51020,B,4,200350,S,2.688,1.376,2010-08-25 14:53:26.75
