CodigoNotaFiscal,CodigoCentroSaida,CodigoReceita,Volume,RelacaoAguaCimento,TipoLancamento,DataEmissaoNotaFiscal,CodigoCliente,CodigoMotorista,Status,QuantidadeAgua,QuantidadeAdicaoAgua,TempoPermanenciaObra,ConsumoTotal,FCK,TipoTraco,IdadeTraco,Aglomerante,Rompimento7Dias,Rompimento28Dias,DesvioUtilizado,Projecao
556529,80020,43722051,5.0,0.772,C,2020-01-02 07:14:40.670,85751051,40080,N,850,,2020-01-02 01:31:00,1305.0,25.0,N,28,11051.0,0.0,0.0,6.5,
556530,51020,43805051,5.0,0.888,C,2020-01-02 07:19:59.607,5158051,94079,N,910,,2020-01-02 02:32:00,1970.0,25.0,N,28,106051.0,0.0,0.0,3.5,
556532,51120,4583051,8.0,0.755,B,2020-01-02 07:27:43.463,103018998,173051,N,1576,,2020-01-02 00:13:00,1960.0,30.0,N,28,14051.0,0.0,0.0,4.0,
556533,79120,45697051,6.0,1.103,C,2020-01-02 07:33:50.977,98615998,295051,N,1218,,2020-01-02 02:45:00,1062.0,10.0,N,28,17051.0,0.0,0.0,5.5,
556534,51020,43777051,7.0,0.9840000000000001,C,2020-01-02 07:36:06.730,103604998,49079,N,1274,,2020-01-02 02:01:00,2492.0,20.0,N,28,106051.0,0.0,0.0,3.5,
556536,51120,19996051,8.0,0.835,B,2020-01-02 07:43:53.640,93564998,419051,N,1624,1.0,2020-01-02 02:00:00,1864.0,25.0,N,28,14051.0,18.39,28.13,4.0,26.06818715643159
556538,51120,4583051,8.0,0.755,B,2020-01-02 07:56:13.450,103018998,340051,N,1576,,2020-01-02 01:01:00,1960.0,30.0,N,28,14051.0,0.0,0.0,4.0,
556539,80020,43932051,8.0,0.77,B,2020-01-02 08:04:06.170,991458998,890051,N,1232,,2020-01-02 00:30:00,1952.0,25.0,N,28,11051.0,24.99,0.0,6.5,34.177194336400056
556541,51120,4583051,8.0,0.755,B,2020-01-02 08:26:02.023,103018998,992051,N,1576,,2020-01-02 01:10:00,1960.0,30.0,N,28,14051.0,21.68,32.74,4.0,30.160564141606162
556542,80020,43932051,8.0,0.77,B,2020-01-02 08:36:33.573,991458998,120079,N,1232,,2020-01-02 00:19:00,1952.0,25.0,N,28,11051.0,24.38,33.7,6.5,33.40571693470794
