CodigoNotaFiscal,CodigoCentroSaida,CodigoReceita,Volume,RelacaoAguaCimento,TipoLancamento,DataEmissaoNotaFiscal,CodigoCliente,CodigoMotorista,Status,QuantidadeAgua,QuantidadeAdicaoAgua,TempoPermanenciaObra,ConsumoTotal,FCK,TipoTraco,IdadeTraco,Aglomerante,Rompimento7Dias,Rompimento28Dias,DesvioUtilizado,Projecao
477338,51120,36139051,4.0,0.847,C,2018-01-02 07:02:49.053,226085998,173051,C,652,,,1808.0,15.0,N,28,60051.0,0.0,0.0,6.0,0.0
477339,51020,23009051,7.0,0.677,B,2018-01-02 07:03:49.730,226773998,727051,N,1372,40.0,2018-01-02 01:20:00,3948.0,25.0,N,28,29051.0,14.82,23.81,6.0,0.0
477340,79020,31660051,6.0,0.551,B,2018-01-02 07:07:43.457,222009998,107079,N,972,,2018-01-02 01:43:00,4152.0,35.0,E,28,62051.0,31.09,41.72,6.0,0.0
477341,51120,36141051,8.0,0.611,B,2018-01-02 07:12:07.200,135588051,731051,N,1376,,2018-01-02 02:10:00,5216.0,30.0,N,28,60051.0,0.0,0.0,6.0,0.0
477342,80020,35862051,8.5,0.701,C,2018-01-02 07:13:28.690,106805051,6080,N,1352,,2018-01-02 02:10:00,2210.0,25.0,N,28,79051.0,19.55,24.65,6.0,0.0
477343,51020,34531051,7.0,0.653,B,2018-01-02 07:17:12.530,246655998,66079,N,1666,,2018-01-02 02:20:00,4970.0,25.0,E,28,29051.0,0.0,0.0,7.0,0.0
477344,51120,36137051,8.0,0.61,B,2018-01-02 07:22:42.430,240065998,226051,N,1456,50.0,2018-01-02 00:57:00,5472.0,30.0,N,28,60051.0,23.81,35.75,6.0,0.0
477345,51020,23009051,7.0,0.677,B,2018-01-02 07:31:02.907,226773998,704051,N,1372,40.0,2018-01-02 01:30:00,3948.0,25.0,N,28,29051.0,15.02,21.88,6.0,0.0
477346,51120,36139051,4.0,0.847,C,2018-01-02 07:33:17.750,226085998,173051,N,604,,2018-01-02 00:40:00,1808.0,15.0,N,28,60051.0,0.0,0.0,6.0,0.0
477347,79120,29127051,5.0,0.63,B,2018-01-02 07:39:40.937,230763998,399051,N,815,,2018-01-02 01:50:00,3090.0,30.0,N,28,68051.0,0.0,0.0,3.5,0.0
477348,51120,33790051,3.0,0.755,B,2018-01-02 07:42:00.790,115318051,900000008,N,477,,2018-01-02 00:20:00,834.0,20.0,N,28,60051.0,0.0,0.0,6.0,0.0
477350,79020,31660051,6.0,0.551,B,2018-01-02 07:54:06.817,222009998,105079,N,972,,2018-01-02 01:33:00,4152.0,35.0,E,28,62051.0,35.31,46.82,6.0,0.0
477352,51020,34531051,7.0,0.653,B,2018-01-02 08:04:59.633,246655998,897051,N,1666,,2018-01-02 02:20:00,4970.0,25.0,E,28,29051.0,0.0,0.0,7.0,0.0
477353,79120,29127051,8.0,0.63,B,2018-01-02 08:05:04.300,132748051,49080,N,1304,,2018-01-02 01:48:00,4944.0,30.0,N,28,68051.0,24.61,40.99,3.5,0.0
477354,51120,36143051,5.0,0.654,C,2018-01-02 08:11:03.550,4108051,419051,N,840,,2018-01-02 00:29:00,3050.0,25.0,E,28,60051.0,21.9,30.92,7.5,0.0
477357,79120,29127051,5.0,0.63,B,2018-01-02 08:20:59.867,230763998,162079,N,815,,2018-01-02 02:41:00,3090.0,30.0,N,28,68051.0,0.0,0.0,3.5,0.0
477360,51120,36143051,5.0,0.654,C,2018-01-02 08:51:21.827,4108051,49079,N,840,,2018-01-02 00:18:00,3050.0,25.0,E,28,60051.0,0.0,0.0,7.5,0.0
477361,51020,23009051,7.0,0.677,B,2018-01-02 09:02:44.680,226773998,517051,N,1372,,2018-01-02 00:46:00,3948.0,25.0,N,28,29051.0,0.0,0.0,6.0,0.0
477362,51120,33758051,8.0,0.654,B,2018-01-02 09:05:48.207,2378051,340051,N,1264,,2018-01-02 00:32:00,4624.0,25.0,E,28,60051.0,25.5,37.57,7.5,0.0
477364,79120,29127051,8.0,0.63,B,2018-01-02 09:23:30.970,132748051,924051,N,1304,,2018-01-02 01:45:00,4944.0,30.0,N,28,68051.0,26.31,36.59,3.5,0.0
477365,51120,36137051,8.0,0.61,B,2018-01-02 09:27:46.943,240065998,577051,C,1368,,,5472.0,30.0,N,28,60051.0,0.0,0.0,6.0,0.0
477366,79020,31660051,6.0,0.551,B,2018-01-02 09:32:04.950,222009998,104079,N,972,,2018-01-02 01:05:00,4152.0,35.0,E,28,62051.0,0.0,0.0,6.0,0.0
477367,51120,36137051,5.0,0.61,B,2018-01-02 10:05:22.930,240065998,911051,N,855,30.0,2018-01-02 00:25:00,3420.0,30.0,N,28,60051.0,26.38,39.5,6.0,0.0
477368,51020,32935051,4.0,0.611,B,2018-01-02 10:07:35.810,135588051,85079,N,816,,2018-01-02 00:33:00,2608.0,30.0,N,28,29051.0,20.81,32.3,6.0,0.0
