CodigoCentroSaida,TipoTraco,TipoLancamento,Aglomerante,DataProjecao,MPaAcimaPeriodosReais,MPaAcimaPeriodosProjetados,PercentualAbaixoPeriodosReais,PercentualAbaixoPeriodosProjetados,UltimaAlteracaoDesvioImpactouDadosReais,AlteracaoDesvio
60020,E,B,24051.0,2018-06-01 14:15:08.420,0.0,3.6797597989567548,0.0,0.0,False,MANTEVE
80020,N,C,70051.0,2018-06-01 11:29:05.650,7.752614035087721,3.156634711628733,1.2987012987012987,11.11111111111111,True,AUMENTOU POUCO
51020,N,C,29051.0,2018-06-01 08:06:53.347,5.824403183023872,4.633455660541492,1.2987012987012987,4.166666666666666,False,DIMINUIU POUCO
79120,E,B,83051.0,2018-06-01 08:07:53.620,12.59982456140351,0.3435259246285119,0.0,23.076923076923077,False,INDEFINIDO
60020,E,B,81051.0,2018-06-01 08:32:56.443,13.8225,3.376440441644865,0.0,16.666666666666664,False,MANTEVE
51020,E,C,72051.0,2018-06-01 09:10:33.907,0.9516666666666674,6.6798699487812545,33.33333333333333,2.380952380952381,False,MANTEVE
51120,E,B,60051.0,2018-06-08 06:41:00.710,9.287254901960784,8.637034383691963,0.0,0.0,False,INDEFINIDO
51120,N,B,60051.0,2018-06-08 07:04:22.060,4.837922948073703,5.033848653258505,0.0,0.0,False,INDEFINIDO
80020,N,C,70051.0,2018-06-08 07:09:11.367,6.941922455573504,2.485284662190244,1.2195121951219512,15.841584158415841,True,MANTEVE
80020,E,B,70051.0,2018-06-08 09:58:18.517,10.444871794871796,5.38519551334794,0.0,0.0,False,INDEFINIDO
60020,N,B,81051.0,2018-06-08 07:10:30.250,10.220869565217392,6.54202673576479,0.0,0.0,False,INDEFINIDO
60020,E,C,81051.0,2018-06-08 08:07:23.650,16.04290322580645,3.6389650344994093,0.0,12.5,True,MANTEVE
51020,E,B,72051.0,2018-06-08 08:07:58.083,8.02923076923077,8.138671960517163,0.0,0.0,True,AUMENTOU POUCO
51020,N,B,72051.0,2018-06-08 12:51:27.453,10.383191489361701,9.155287270356117,0.0,0.0,False,INDEFINIDO
79020,N,B,82051.0,2018-06-08 09:12:44.757,0.0,8.672272591625742,0.0,0.0,False,INDEFINIDO
79020,E,B,82051.0,2018-06-08 16:38:43.820,8.863070866141731,7.638251822871302,0.0,0.0,True,MANTEVE
79120,N,B,68051.0,2018-06-08 09:18:33.133,3.9995942720763726,1.939555854984841,3.3333333333333335,15.151515151515152,True,MANTEVE
79120,E,B,68051.0,2018-06-08 12:14:48.503,5.683266666666666,3.3048649578723563,0.0,4.761904761904762,True,MANTEVE
79120,N,B,83051.0,2018-06-08 09:59:15.500,0.0,13.850683761813272,0.0,0.0,False,INDEFINIDO
79120,E,B,83051.0,2018-06-08 09:05:35.307,11.023300492610838,-21.714049879328766,0.0,75.0,True,AUMENTOU POUCO
51020,N,B,29051.0,2018-06-08 11:41:01.393,5.296911045943305,3.8173721184470657,0.0,3.571428571428571,False,MANTEVE
51020,E,B,29051.0,2018-06-08 07:09:40.567,6.607508417508417,5.254102362477648,0.0,0.0,False,INDEFINIDO
79020,E,B,62051.0,2018-06-08 15:54:51.427,5.6562857142857155,4.803693273191027,0.0,4.761904761904762,True,MANTEVE
79020,N,C,62051.0,2018-06-08 07:09:42.453,4.095805687203792,0.4038718253287822,6.0606060606060606,16.666666666666664,True,MANTEVE
60020,N,B,24051.0,2018-06-08 16:37:15.903,1.8109302325581393,4.456260460667982,4.0,5.555555555555555,True,MANTEVE
60020,E,B,24051.0,2018-06-08 07:58:22.770,1.6255555555555559,4.060118173909467,25.0,0.0,True,MANTEVE
79020,N,B,78051.0,2018-06-08 15:57:19.010,0.0,-2.1913335016696687,0.0,100.0,False,INDEFINIDO
51020,E,B,28051.0,2018-06-08 08:51:45.983,0.0,0.0,0.0,0.0,False,INDEFINIDO
51120,E,B,61051.0,2018-06-08 10:39:07.377,0.0,0.0,0.0,0.0,False,INDEFINIDO
79020,N,C,62051.0,2018-06-15 07:01:36.877,5.761238447319778,-1.1269213951249037,5.128205128205128,33.33333333333333,True,MANTEVE
79020,E,B,62051.0,2018-06-15 07:37:00.990,5.623548387096774,4.636616269041214,0.0,6.666666666666667,True,MANTEVE
79120,E,B,68051.0,2018-06-15 07:11:32.467,6.423235294117647,5.299197335461138,0.0,3.8461538461538463,True,MANTEVE
79120,N,B,68051.0,2018-06-15 16:52:16.013,4.2604451510333865,2.2577434187762035,7.142857142857142,12.0,True,MANTEVE
60020,N,B,24051.0,2018-06-15 07:16:24.840,2.8439880952380956,4.24684340247682,0.0,4.166666666666666,True,MANTEVE
60020,E,B,24051.0,2018-06-15 07:08:52.763,1.8162857142857147,5.517315717238058,20.0,0.0,True,MANTEVE
51020,E,B,72051.0,2018-06-15 07:24:35.470,8.032619047619049,7.775115192164443,0.0,0.0,True,MANTEVE
51020,N,B,72051.0,2018-06-15 14:24:45.497,10.834444444444443,4.046087954127652,0.0,0.0,False,MANTEVE
51120,E,B,61051.0,2018-06-15 07:33:04.797,0.0,0.0,0.0,0.0,True,DIMINUIU POUCO
60020,E,C,81051.0,2018-06-15 08:10:08.080,14.346790123456788,3.892208541148104,0.0,12.5,True,MANTEVE
80020,N,C,70051.0,2018-06-15 08:23:41.337,9.270197224251277,-0.6167831273270211,0.0,21.333333333333336,True,DIMINUIU POUCO
80020,E,B,70051.0,2018-06-15 07:14:56.607,10.715,5.751748714075655,0.0,3.3333333333333335,False,MANTEVE
51020,N,C,29051.0,2018-06-15 08:37:40.630,5.935555555555555,1.9028353063871422,0.0,10.526315789473683,False,MANTEVE
51020,E,B,29051.0,2018-06-15 10:00:20.463,7.64912547528517,5.641275830919636,0.0,0.0,False,MANTEVE
51120,N,B,60051.0,2018-06-15 12:27:04.027,5.768641975308642,4.4544021192818075,0.0,0.0,False,MANTEVE
51120,E,B,60051.0,2018-06-15 07:06:01.670,10.959999999999999,5.044743907022968,0.0,4.545454545454546,False,AUMENTOU POUCO
79120,E,B,69051.0,2018-06-15 09:25:20.137,0.0,0.0,0.0,0.0,False,INDEFINIDO
79020,N,B,78051.0,2018-06-15 07:21:15.147,0.0,-2.0962208606746757,0.0,100.0,False,MANTEVE
60020,E,C,77051.0,2018-06-15 12:31:06.053,0.0,2.173277255826062,0.0,0.0,False,INDEFINIDO
60020,N,B,77051.0,2018-06-15 15:52:09.423,0.0,4.174121592670146,0.0,0.0,False,INDEFINIDO
80020,N,C,70051.0,2018-06-22 07:10:48.500,9.647450572320498,2.967958599500423,0.0,9.75609756097561,False,DIMINUIU POUCO
80020,E,B,70051.0,2018-06-22 07:34:49.667,0.0,5.2386203158504445,0.0,8.571428571428571,False,DIMINUIU POUCO
79020,E,B,62051.0,2018-06-22 07:36:56.640,8.71677130044843,5.503677489966937,0.0,5.263157894736842,True,MANTEVE
79020,N,B,62051.0,2018-06-22 07:52:42.530,5.695047169811324,2.3962787411355047,0.0,20.588235294117645,True,MANTEVE
51120,N,B,60051.0,2018-06-22 07:39:11.213,6.686351351351352,4.5801054721286,0.0,0.0,False,MANTEVE
51120,E,B,60051.0,2018-06-22 07:34:50.100,10.959999999999999,6.033861736153842,0.0,3.4482758620689653,False,MANTEVE
51020,N,C,29051.0,2018-06-22 07:43:17.460,6.6651449275362324,3.9564444102127667,0.0,2.857142857142857,True,MANTEVE
51020,E,B,29051.0,2018-06-22 07:51:46.633,8.978712121212121,6.215590508343478,0.0,0.0,False,MANTEVE
79120,N,B,68051.0,2018-06-22 08:09:04.010,4.440663900414938,2.365838094583101,6.25,10.526315789473683,True,MANTEVE
79120,E,B,68051.0,2018-06-22 10:00:14.327,6.360753138075314,4.960061029288902,0.0,2.380952380952381,True,MANTEVE
60020,E,B,24051.0,2018-06-22 08:53:46.567,5.17,5.666418227980241,0.0,0.0,True,MANTEVE
60020,N,B,24051.0,2018-06-22 07:30:02.637,6.158541666666668,3.6295018560749983,0.0,6.666666666666667,True,MANTEVE
51020,E,B,72051.0,2018-06-22 06:56:41.770,9.245789473684212,8.78197021078896,0.0,0.0,False,AUMENTOU POUCO
60020,E,C,77051.0,2018-06-22 13:18:50.800,0.0,3.2724640459146066,0.0,0.0,False,MANTEVE
60020,N,C,77051.0,2018-06-22 13:11:10.263,0.0,4.787719903229762,0.0,0.0,False,MANTEVE
79020,E,B,56051.0,2018-06-22 09:40:58.273,0.0,0.0,0.0,0.0,False,INDEFINIDO
51020,N,B,28051.0,2018-06-22 06:57:49.807,5.687857142857145,0.0,0.0,0.0,True,INDEFINIDO
51020,E,C,28051.0,2018-06-22 17:28:07.807,0.0,0.0,0.0,0.0,True,INDEFINIDO
51120,E,B,61051.0,2018-06-22 07:06:51.350,0.0,0.0,0.0,0.0,False,AUMENTOU POUCO
51120,E,B,60051.0,2018-06-29 07:07:57.080,5.424648648648649,6.769066165781422,0.0,3.8461538461538463,True,MANTEVE
51120,N,B,60051.0,2018-06-29 07:09:22.830,4.694215885947046,4.662985008974327,3.125,5.454545454545454,True,MANTEVE
51020,N,B,29051.0,2018-06-29 07:19:02.720,3.8765730337078654,4.028408982384209,0.0,2.2222222222222223,True,MANTEVE
51020,E,B,29051.0,2018-06-29 06:56:20.617,6.464666666666667,6.361313882681458,0.0,0.0,True,MANTEVE
79020,E,B,62051.0,2018-06-29 07:28:30.300,8.082135231316725,6.361145333820001,0.0,2.7777777777777777,True,MANTEVE
79020,N,B,62051.0,2018-06-29 10:10:31.597,2.647692307692308,4.516483523009885,7.142857142857142,12.5,True,MANTEVE
80020,N,C,79051.0,2018-06-29 07:29:07.113,0.0,4.663466287927581,0.0,0.0,False,INDEFINIDO
79120,N,B,68051.0,2018-06-29 08:11:20.403,1.7821327014218002,4.170804399186251,37.5,8.620689655172415,True,MANTEVE
79120,E,C,68051.0,2018-06-29 14:13:46.577,4.79062937062937,4.477985921694418,9.090909090909092,0.0,True,MANTEVE
60020,E,B,24051.0,2018-06-29 06:09:13.890,3.2733333333333325,0.0,0.0,0.0,True,MANTEVE
51020,E,B,28051.0,2018-06-29 06:24:10.887,0.0,0.0,0.0,0.0,True,MANTEVE
51020,N,B,28051.0,2018-06-29 07:41:08.103,0.0,8.716643796768425,0.0,20.0,False,MANTEVE
60020,E,C,77051.0,2018-06-29 12:33:25.433,0.0,4.856521055169237,0.0,0.0,False,DIMINUIU POUCO
60020,N,C,77051.0,2018-06-29 07:13:53.527,0.0,5.098887814665257,0.0,0.0,False,MANTEVE
51020,E,B,72051.0,2018-06-29 06:58:58.680,6.030904977375567,9.386124831544892,0.0,0.0,True,DIMINUIU POUCO
51020,N,B,72051.0,2018-06-29 07:43:50.073,0.0,4.946267608225744,0.0,0.0,True,INDEFINIDO
51020,E,B,28051.0,2018-07-06 07:29:38.037,0.0,0.0,0.0,0.0,True,MANTEVE
51020,N,B,28051.0,2018-07-06 07:09:57.563,0.0,6.470005334452211,0.0,11.11111111111111,False,MANTEVE
79020,E,B,62051.0,2018-07-06 07:37:48.783,5.610578512396694,2.4305463330576447,0.0,15.151515151515152,False,AUMENTOU POUCO
79020,N,B,62051.0,2018-07-06 08:56:48.180,2.176506024096386,3.7186577003954127,9.090909090909092,10.526315789473683,False,AUMENTOU POUCO
51120,E,B,61051.0,2018-07-06 07:50:49.683,0.0,0.0,0.0,0.0,True,INDEFINIDO
51120,N,B,61051.0,2018-07-06 07:56:51.080,0.0,6.517440834838183,0.0,0.0,False,INDEFINIDO
60020,E,B,77051.0,2018-07-06 08:14:04.720,2.7460526315789475,5.6738714398148495,0.0,0.0,False,MANTEVE
60020,N,C,77051.0,2018-07-06 08:27:05.160,6.184482758620688,1.4887424138900835,0.0,15.384615384615385,True,MANTEVE
51020,N,C,29051.0,2018-07-06 08:38:22.733,2.5189922480620157,1.7715861467517637,16.666666666666664,8.333333333333332,True,MANTEVE
51020,E,B,29051.0,2018-07-06 08:54:34.780,5.477439252336446,4.110597323696776,0.0,6.8181818181818175,True,MANTEVE
79120,N,C,68051.0,2018-07-06 09:02:56.210,1.1999041533546322,4.995783478902533,31.818181818181817,9.090909090909092,False,AUMENTOU POUCO
79120,E,B,68051.0,2018-07-06 14:44:16.890,3.9364238410596033,1.2794745301477775,13.636363636363635,15.789473684210526,False,AUMENTOU POUCO
79120,E,B,69051.0,2018-07-06 09:03:44.830,0.0,0.0,0.0,0.0,True,INDEFINIDO
51120,N,B,60051.0,2018-07-06 10:36:51.140,4.398967136150233,3.684424554479017,4.761904761904762,9.67741935483871,True,MANTEVE
51120,E,B,60051.0,2018-07-06 07:16:10.537,5.5146827794561935,9.059080960023598,4.545454545454546,0.0,True,MANTEVE
80020,N,C,79051.0,2018-07-06 12:56:58.257,0.0,2.043280540197074,0.0,10.0,False,MANTEVE
80020,N,B,44051.0,2018-07-06 11:17:08.710,0.0,-30.0,0.0,100.0,False,INDEFINIDO
60020,E,C,24051.0,2018-07-06 15:05:30.723,3.2733333333333325,0.0,0.0,0.0,True,MANTEVE
