CodigoAglomerante,Ano,Mes,ParametroX,ParametroY,DataAlteracao
12051,2010,7,2.6297,-0.338,2010-08-28 11:01:38.183
12051,2010,8,2.6297,-0.338,2010-08-28 11:01:38.2
12051,2010,7,2.5768,-0.3231,2010-08-28 11:07:50.853
12051,2010,8,2.5768,-0.3231,2010-08-28 11:07:50.867
8051,2010,9,2.3514,0.2493,2010-09-01 11:27:23.293
12051,2010,8,2.6027,-0.3409,2010-09-03 16:52:48.897
12051,2010,9,2.6027,-0.3409,2010-09-03 16:52:48.913
12051,2010,8,2.6521,-0.3489,2010-09-16 08:23:04.16
12051,2010,9,2.6521,-0.3489,2010-09-16 08:23:04.207
12051,2010,8,3.103,-0.4873,2010-09-16 08:27:41.69
12051,2010,9,3.103,-0.4873,2010-09-16 08:27:41.707
12051,2010,8,2.6027,-0.3409,2010-09-16 08:29:17.187
12051,2010,9,2.6027,-0.3409,2010-09-16 08:29:17.203
12051,2010,8,2.6027,-0.3409,2010-09-16 08:37:49.287
12051,2010,9,2.6027,-0.3409,2010-09-16 08:37:49.3
12051,2010,8,2.6411,-0.3312,2010-09-16 08:38:33.267
12051,2010,9,2.6411,-0.3312,2010-09-16 08:38:33.283
13051,2010,8,2.0574,-0.1938,2010-09-17 19:23:25.473
13051,2010,9,2.0574,-0.1938,2010-09-17 19:23:25.49
13051,2010,8,2.3734,-0.2547,2010-09-17 19:30:56.23
13051,2010,9,2.3734,-0.2547,2010-09-17 19:30:56.247
15051,2010,8,2.5873,-0.3872,2010-09-23 15:16:17.82
15051,2010,9,2.5873,-0.3872,2010-09-23 15:16:17.837
15051,2010,8,2.6251,-0.3349,2010-09-23 15:19:03.84
15051,2010,9,2.6251,-0.3349,2010-09-23 15:19:03.857
15051,2010,8,2.522,-0.356,2010-09-23 15:21:36.043
15051,2010,9,2.522,-0.356,2010-09-23 15:21:36.06
15051,2010,8,2.4219,-0.3369,2010-09-23 15:47:07.84
15051,2010,9,2.4219,-0.3369,2010-09-23 15:47:07.853
15051,2010,8,2.4167,-0.3338,2010-09-23 15:51:53.95
15051,2010,9,2.4167,-0.3338,2010-09-23 15:51:53.98
15051,2010,8,2.4361,-0.3382,2010-09-23 16:01:47.713
15051,2010,9,2.4361,-0.3382,2010-09-23 16:01:47.73
15051,2010,8,2.2802,-0.2869,2010-09-23 16:35:28.72
15051,2010,9,2.2802,-0.2869,2010-09-23 16:35:28.737
15051,2010,8,2.6251,-0.3349,2010-09-23 16:46:17.907
15051,2010,9,2.6251,-0.3349,2010-09-23 16:46:17.923
15051,2010,8,2.3799,-0.3233,2010-09-23 17:10:42.8
15051,2010,9,2.3799,-0.3233,2010-09-23 17:10:42.8
15051,2010,8,2.6251,-0.3349,2010-09-23 17:12:49.12
15051,2010,9,2.6251,-0.3349,2010-09-23 17:12:49.12
15051,2010,8,2.3607,-0.3168,2010-09-24 08:35:22.95
15051,2010,9,2.3607,-0.3168,2010-09-24 08:35:22.963
15051,2010,8,2.536,-0.3604,2010-09-24 08:41:09.667
15051,2010,9,2.536,-0.3604,2010-09-24 08:41:09.68
15051,2010,8,2.4306,-0.3327,2010-09-24 08:51:13.277
15051,2010,9,2.4306,-0.3327,2010-09-24 08:51:13.29
15051,2010,8,2.7146,-0.4111,2010-09-24 08:53:34.283
15051,2010,9,2.7146,-0.4111,2010-09-24 08:53:34.283
15051,2010,8,2.7098,-0.4056,2010-09-24 08:56:25.447
15051,2010,9,2.7098,-0.4056,2010-09-24 08:56:25.447
15051,2010,8,2.8641,-0.4482,2010-09-24 09:01:24.477
15051,2010,9,2.8641,-0.4482,2010-09-24 09:01:24.493
15051,2010,8,2.9831,-0.4853,2010-09-24 09:03:49.11
15051,2010,9,2.9831,-0.4853,2010-09-24 09:03:49.127
15051,2010,8,3.1027,-0.5188,2010-09-24 09:06:53.807
15051,2010,9,3.1027,-0.5188,2010-09-24 09:06:53.82
15051,2010,8,3.0585,-0.5067,2010-09-24 09:10:28.513
15051,2010,9,3.0585,-0.5067,2010-09-24 09:10:28.53
15051,2010,8,3.1795,-0.5411,2010-09-24 09:14:48.797
15051,2010,9,3.1795,-0.5411,2010-09-24 09:14:48.797
15051,2010,8,3.2183,-0.5654,2010-09-24 09:21:45.513
15051,2010,9,3.2183,-0.5654,2010-09-24 09:21:45.53
12051,2010,8,2.6411,-0.3312,2010-09-24 11:02:43.923
12051,2010,9,2.6411,-0.3312,2010-09-24 11:02:43.94
12051,2010,8,2.7632,-0.4247,2010-09-24 11:21:43.383
12051,2010,9,2.7632,-0.4247,2010-09-24 11:21:43.4
