CodigoCentroSaida;CodigoAditivo1;PercentualAditivoConvencional1;PercentualReducaoConvencional1;PercentualAditivoBombeavel1;PercentualReducaoBombeavel1;CodigoAditivo2;PercentualAditivoConvencional2;PercentualReducaoConvencional2;PercentualAditivoBombeavel2;PercentualReducaoBombeavel2;ArIncorporado;DataAlteracao
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:31:12.297
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:39:12.247
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:41:24.863
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:42:32.227
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:45:13.800
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:45:17.040
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:46:50.310
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:48:29.953
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:50:08.770
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:55:27.193
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 08:56:38.237
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:00:31.267
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:00:44.243
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:01:28.667
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:05:35.570
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:08:14.540
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:08:26.363
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:09:56.853
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:13:48.087
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:18:33.863
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:20:51.807
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:21:45.800
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:24:06.660
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:24:21.590
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:25:57.160
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:33:54.857
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:39:13.207
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:39:20.080
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:39:42.437
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:39:55.333
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:42:04.207
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:44:55.247
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:47:02.033
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:49:32.147
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:49:41.413
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:50:10.687
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:53:14.017
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 09:54:38.373
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:02:01.870
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:02:45.547
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:02:56.887
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:04:52.770
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:08:45.660
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:13:19.600
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:14:30.380
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:18:52.653
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:23:18.767
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 10:24:04.630
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:38:30.740
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:45:08.573
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:52:09.147
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:52:28.893
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:53:05.700
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 18:54:11.890
148020;153;0.800;4.000;0.800;4.000;10;0.000;0.000;0.000;0.000;96.000;2021-01-21 18:54:30.720
51340;30;0.650;9.000;0.650;9.000;NULL;NULL;NULL;NULL;NULL;99.999;2021-01-21 19:06:14.283
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 19:17:22.213
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 19:19:03.123
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-21 19:19:47.120
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 09:50:21.900
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 09:51:09.490
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 09:51:58.760
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 09:53:15.587
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 09:55:14.530
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:05:48.177
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:12:38.573
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:17:46.403
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:45:16.300
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:50:16.683
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:55:04.863
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:55:32.343
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 10:56:52.970
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 11:14:10.647
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 14:05:04.527
51020;163;0.750;7.000;0.750;7.000;245;0.050;0.000;0.001;0.000;96.000;2021-01-22 16:03:06.380
51120;163;0.750;7.000;0.750;7.000;245;0.050;0.000;0.001;0.000;96.000;2021-01-22 16:04:16.293
