,CodigoReceita,Volume,TipoLancamento,QuantidadeAgua,ConsumoTotal,TipoTraco,FCK,Rompimento7Dias,Rompimento28Dias,ResultadoEsperado
2904,23009051,7.0,B,1015.0,1953.0,N,25.0,15.3,23.18,47.211344014555
2905,23009051,6.0,B,870.0,1674.0,N,25.0,15.45,25.26,47.211344014555
2906,23009051,8.0,B,1240.0,2232.0,N,25.0,17.63,25.63,44.17604130082629
2907,23009051,8.0,B,1240.0,2232.0,N,25.0,17.92,25.41,44.17604130082629
2908,23009051,8.0,B,1240.0,2232.0,N,25.0,17.96,25.89,44.17604130082629
2909,23009051,8.0,B,1240.0,2232.0,N,25.0,16.51,25.61,44.17604130082629
2910,23009051,8.0,B,1240.0,2232.0,N,25.0,18.45,25.14,44.17604130082629
2911,23009051,6.0,B,930.0,1674.0,N,25.0,17.16,25.3,44.17604130082629
2912,23009051,8.0,B,1400.0,2232.0,N,25.0,19.17,25.94,38.67832494902336
2913,23009051,8.0,B,1400.0,2232.0,N,25.0,21.23,29.05,38.67832494902336
2914,23009051,8.0,B,1296.0,2232.0,N,25.0,15.96,22.66,42.16820331424762
2915,23009051,8.0,B,1296.0,2232.0,N,25.0,18.22,24.95,42.16820331424762
2917,23009051,8.0,B,1320.0,2232.0,N,25.0,17.39,26.75,41.33588368953585
2919,23009051,8.0,B,1320.0,2232.0,N,25.0,19.74,28.54,41.33588368953585
2923,23009051,7.0,B,1183.0,2037.0,N,25.0,18.53,26.17,42.15953777653384
2924,23009051,8.0,B,1408.0,2328.0,N,25.0,17.63,27.06,40.32062007438998
2925,23009051,8.0,B,1408.0,2328.0,N,25.0,16.91,26.19,40.32062007438998
2926,23009051,7.0,B,1232.0,2037.0,N,25.0,17.15,23.47,40.32062007438998
2927,23009051,7.0,B,1232.0,2037.0,N,25.0,,,40.32062007438998
2928,23009051,7.0,B,1232.0,2037.0,N,25.0,20.06,27.65,40.32062007438998
2929,23009051,7.0,B,1232.0,2037.0,N,25.0,18.95,28.55,40.32062007438998
2930,23009051,7.0,B,1232.0,2037.0,N,25.0,20.72,28.97,40.32062007438998
2931,23009051,5.0,B,880.0,1455.0,N,25.0,17.71,26.89,40.32062007438998
2932,23009051,5.0,B,880.0,1455.0,N,25.0,19.67,30.96,40.32062007438998
2937,23009051,7.5,B,1118.0,2182.5,N,25.0,,,47.86855795511859
2938,23009051,8.0,B,1248.0,2376.0,N,25.0,17.24,25.47,44.48903271502122
2939,23009051,8.0,B,1248.0,2376.0,N,25.0,19.29,28.4,44.48903271502122
2940,23009051,8.0,B,1248.0,2376.0,N,25.0,19.54,29.5,44.48903271502122
2941,23009051,8.0,B,1248.0,2376.0,N,25.0,17.16,27.48,44.48903271502122
2942,23009051,8.0,B,1248.0,2376.0,N,25.0,17.25,27.47,44.48903271502122
2943,23009051,8.0,B,1248.0,2376.0,N,25.0,20.62,31.42,44.48903271502122
2944,23009051,8.0,B,1248.0,2376.0,N,25.0,18.78,28.29,44.48903271502122
2945,23009051,8.0,B,1352.0,2376.0,N,25.0,20.24,30.87,41.18500990059434
2946,23009051,8.0,B,1352.0,2376.0,N,25.0,18.03,27.33,41.18500990059434
2947,23009051,8.0,B,1352.0,2376.0,N,25.0,19.86,30.11,41.18500990059434
2948,23009051,6.5,B,1099.0,1930.5,N,25.0,18.65,28.08,41.16620839899635
2949,23009051,6.5,B,1099.0,1930.5,N,25.0,19.4,30.65,41.16620839899635
2950,23009051,8.0,B,1296.0,2280.0,N,25.0,18.05,25.6,41.22878136091057
2953,23009051,8.0,B,1296.0,2280.0,N,25.0,19.35,28.18,41.22878136091057
2954,23009051,8.0,B,1296.0,2280.0,N,25.0,18.48,26.9,41.22878136091057
2955,23009051,8.0,B,1296.0,2280.0,N,25.0,,,41.22878136091057
2957,23009051,8.0,B,1296.0,2280.0,N,25.0,17.82,26.52,41.22878136091057
2961,23009051,8.0,B,1296.0,2280.0,N,25.0,15.03,23.41,41.22878136091057
2962,23009051,8.0,B,1296.0,2280.0,N,25.0,17.3,25.55,41.22878136091057
2964,23009051,8.0,B,1296.0,2280.0,N,25.0,16.87,25.35,41.22878136091057
2965,23009051,8.0,B,1296.0,2280.0,N,25.0,18.65,27.82,41.22878136091057
2966,23009051,8.0,B,1296.0,2280.0,N,25.0,20.24,27.85,41.22878136091057
2967,23009051,8.0,B,1296.0,2280.0,N,25.0,19.16,29.25,41.22878136091057
2968,23009051,8.0,B,1296.0,2280.0,N,25.0,19.34,27.5,41.22878136091057
2969,23009051,6.0,B,972.0,1710.0,N,25.0,19.04,26.53,41.22878136091057
2970,23009051,5.0,B,810.0,1425.0,N,25.0,18.81,28.38,41.22878136091057
2971,23009051,5.0,B,810.0,1425.0,N,25.0,19.5,26.4,41.22878136091057
2973,23009051,6.5,B,1099.0,1852.5,N,25.0,16.15,27.11,39.46282112584571
2976,23009051,8.0,B,1408.0,2424.0,N,25.0,18.94,29.86,40.33461767866845
2980,23009051,6.0,B,1056.0,1818.0,N,25.0,21.37,32.51,40.33461767866845
2982,23009051,7.5,B,1275.0,2272.5,N,25.0,18.8,28.43,41.76760298348375
2983,23009051,7.5,B,1275.0,2272.5,N,25.0,20.67,30.12,41.76760298348375
2984,23009051,5.0,B,850.0,1515.0,N,25.0,17.62,28.43,41.76760298348375
2985,23009051,8.0,B,1360.0,2424.0,N,25.0,18.56,27.57,41.76760298348375
2986,23009051,8.0,B,1360.0,2424.0,N,25.0,17.55,27.64,41.76760298348375
2987,23009051,8.0,B,1360.0,2424.0,N,25.0,17.61,27.11,41.76760298348375
2988,23009051,8.0,B,1360.0,2424.0,N,25.0,18.41,27.48,41.76760298348375
2989,23009051,8.0,B,1360.0,2424.0,N,25.0,19.69,29.58,41.76760298348375
2990,23009051,8.0,B,1360.0,2424.0,N,25.0,18.71,29.23,41.76760298348375
2991,23009051,8.0,B,1360.0,2424.0,N,25.0,18.27,29.65,41.76760298348375
2992,23009051,8.0,B,1360.0,2424.0,N,25.0,16.36,25.13,41.76760298348375
2996,23009051,8.0,B,1352.0,2376.0,N,25.0,19.29,28.3,41.18500990059434
2997,23009051,8.0,B,1352.0,2376.0,N,25.0,19.39,28.72,41.18500990059434
2999,23009051,6.0,B,1014.0,1782.0,N,25.0,18.15,25.74,41.18500990059434
3000,23009051,8.0,B,1352.0,2376.0,N,25.0,20.23,28.31,41.18500990059434
3005,23009051,8.0,B,1352.0,2376.0,N,25.0,20.79,29.62,41.18500990059434
3007,23009051,8.0,B,1352.0,2376.0,N,25.0,20.93,28.94,41.18500990059434
3008,23009051,8.0,B,1352.0,2376.0,N,25.0,20.04,26.64,41.18500990059434
3011,23009051,6.0,B,1014.0,1782.0,N,25.0,21.07,31.25,41.18500990059434
3014,23009051,7.0,B,1141.0,2016.0,N,25.0,16.61,25.5,41.40716266908819
3015,23009051,7.0,B,1141.0,2016.0,N,25.0,17.47,25.5,41.40716266908819
3018,23009051,6.0,B,954.0,1728.0,N,25.0,19.82,28.94,42.43357823433282
3021,23009051,8.0,B,1064.0,2256.0,N,25.0,17.96,29.85,48.89998498238597
3022,23009051,8.0,B,1064.0,2256.0,N,25.0,15.98,25.23,48.89998498238597
3023,23009051,6.0,B,798.0,1692.0,N,25.0,16.7,26.72,48.89998498238597
3024,23009051,8.0,B,1120.0,2256.0,N,25.0,16.92,26.52,46.80615343922945
3025,23009051,8.0,B,1040.0,2256.0,N,25.0,14.4,26.1,49.82577440720347
3026,23009051,8.0,B,1040.0,2256.0,N,25.0,16.14,26.58,49.82577440720347
3029,23009051,8.0,B,1040.0,2256.0,N,25.0,19.82,31.82,49.82577440720347
3030,23009051,8.0,B,1040.0,2256.0,N,25.0,19.4,30.34,49.82577440720347
