CodigoReceita;Idade;TipoTraco;CodigoAglomerante;FCK;RelacaoAguaCimento
55051;28;N;12051;25.00;0.643
995051;28;N;13051;25.00;0.718
1503051;28;N;15051;25.00;0.696
2744051;28;N;18051;25.00;0.703
5086051;28;N;25051;25.00;0.650
5255051;28;N;15051;25.00;0.765
5256051;28;N;18051;25.00;0.736
8160051;28;N;26051;25.00;0.703
8968051;28;N;29051;25.00;0.713
11357051;28;N;24051;25.00;0.750
11415051;28;N;27051;25.00;0.718
11431051;28;N;4051;25.00;0.832
11566051;28;N;28051;25.00;0.731
11607051;28;N;14051;25.00;0.805
11692051;28;N;34051;25.00;0.795
11708051;28;N;32051;25.00;0.722
12484051;28;N;10051;25.00;0.824
13172051;28;N;11051;25.00;0.661
15045051;28;N;10051;25.00;0.755
15047051;28;N;17051;25.00;0.782
15067051;28;N;43051;25.00;0.639
17397051;28;N;46051;25.00;0.630
17429051;28;N;10051;25.00;0.687
17431051;28;N;17051;25.00;0.718
20779051;28;N;57051;25.00;0.683
21286051;28;N;59051;25.00;0.642
21499051;28;N;12051;25.00;0.643
21951051;28;N;15051;25.00;0.701
21953051;28;N;55051;25.00;0.741
21955051;28;N;18051;25.00;0.696
22320051;28;N;60051;25.00;0.713
23747051;28;N;63051;25.00;0.659
23749051;28;N;15051;25.00;0.701
24118051;28;N;64051;25.00;0.684
25679051;28;N;64051;25.00;0.685
26176051;28;N;63051;25.00;0.660
26344051;28;N;64051;25.00;0.675
26514051;28;N;65051;25.00;0.655
26812051;28;N;63051;25.00;0.689
26814051;28;N;41051;25.00;0.658
26816051;28;N;41051;25.00;0.673
28581051;28;N;29051;25.00;0.713
29093051;28;N;68051;25.00;0.757
29588051;28;N;70051;25.00;0.671
30317051;28;N;62051;25.00;0.757
30481051;28;N;70051;25.00;0.766
30910051;28;N;66051;25.00;0.719
30912051;28;N;7051;25.00;0.832
35925051;28;N;79051;25.00;0.742
36023051;28;N;78051;25.00;0.672
36489051;28;N;77051;25.00;0.680
36600051;28;N;72051;25.00;0.707
36602051;28;N;75051;25.00;0.704
37078051;28;N;81051;25.00;0.712
38559051;28;N;85051;25.00;0.663
38683051;28;N;88051;25.00;0.633
39667051;28;N;94051;25.00;0.679
39823051;28;N;96051;25.00;0.739
40034051;28;N;93051;25.00;0.691
41773051;28;N;91051;25.00;0.727
41941051;28;N;95051;25.00;0.773
42160051;28;N;61051;25.00;0.777
43934051;28;N;11051;25.00;0.784
44689051;28;N;106051;25.00;0.887
44690051;28;N;107051;25.00;0.887
45013051;28;N;108051;25.00;0.872
45381051;28;N;17051;25.00;0.824
46659051;28;N;14051;25.00;0.832
49429051;28;N;111051;25.00;0.793
49431051;28;N;112051;25.00;0.793
49433051;28;N;120051;25.00;0.806
50028051;28;N;113051;25.00;0.744
50030051;28;N;114051;25.00;0.744
50976051;28;N;117051;25.00;0.831
50978051;28;N;115051;25.00;0.835
50979051;28;N;116051;25.00;0.835
48051;28;N;3051;20.00;0.805
49051;28;N;8051;20.00;0.936
50051;28;N;41051;20.00;0.892
51051;28;N;12051;20.00;0.720
945051;28;N;13051;20.00;0.802
1438051;28;N;15051;20.00;0.786
1991051;28;N;11051;20.00;0.739
2742051;28;N;18051;20.00;0.783
5084051;28;N;25051;20.00;0.736
5252051;28;N;15051;20.00;0.874
5253051;28;N;18051;20.00;0.841
8150051;28;N;26051;20.00;0.783
9196051;28;N;29051;20.00;0.794
9920051;28;N;28051;20.00;0.876
9922051;28;N;4051;20.00;0.929
9924051;28;N;14051;20.00;0.894
10139051;28;N;27051;20.00;0.844
12416051;28;N;10051;20.00;0.916
12417051;28;N;17051;20.00;0.916
15041051;28;N;10051;20.00;0.834
15043051;28;N;17051;20.00;0.863
17075051;28;N;43051;20.00;0.712
18458051;28;N;10051;20.00;0.767
18459051;28;N;42051;20.00;0.858
18898051;28;N;46051;20.00;0.705
19713051;28;N;15051;20.00;0.772
19715051;28;N;18051;20.00;0.824
20749051;28;N;57051;20.00;0.746
21272051;28;N;59051;20.00;0.698
21476051;28;N;55051;20.00;0.814
22344051;28;N;60051;20.00;0.794
23699051;28;N;63051;20.00;0.750
23701051;28;N;15051;20.00;0.772
24094051;28;N;64051;20.00;0.769
25781051;28;N;41051;20.00;0.749
25783051;28;N;63051;20.00;0.749
26320051;28;N;64051;20.00;0.768
26490051;28;N;65051;20.00;0.737
26761051;28;N;63051;20.00;0.818
26763051;28;N;41051;20.00;0.749
